User_Id,DOB,Age,Gender_code,User_Locale,User_locale_lang,Preferred_cuisines,Country_Code,Place,State,Theme,Date,Mode_of_transport,Cuisines,Number_of_travellers,Previous_spending ,Currency,Kind_of_stay,Price_range,Aggregate_rating,Rating_text,Votes,Suggested,Clicks_on_booking ,Frequency_of_visits_to_the_website,Ad_source,Time_spent
1002,15-12-1984,35,F,Ahmedabad,Gujarati,South Indian,1,Vaishnav Devi,Jammu Kashmir,Pilgrimage,03-09-2019,Flight,North Indian,6,25000 to 50000,Rupees ,Bed and breakfast,2,4.3,Very Good,223,0,9,15,Youtube,10
1002,15-12-1984,35,F,Ahmedabad,Gujarati,North Indian,1,Bandhavgarh National Park,Madhya Pradesh,Wildlife ,27-11-2018,Flight,South Indian,3,1000 to 10000,Rupees ,Hotels,3,4,Very Good,356,2,1,12,By word of mouth,8.5
1002,15-12-1984,35,F,Ahmedabad,Gujarati,South Indian,1,Kolkatta,West Bengal,Hill Station,23-11-2019,Flight,South Indian,9,50000 to 75000,Rupees ,Hotels,1,0,Not rated,0,8,7,27,Youtube,3.7
1002,15-12-1984,35,F,Ahmedabad,Gujarati,Continental,1,Jim- Corbett,Uttarkhand,Wildlife ,12-05-2018,Flight,North Indian,2,1000 to 10000,Rupees ,Bed and breakfast,1,4.6,Excellent,302,6,8,16,Instagram,4.7
1002,15-12-1984,35,F,Ahmedabad,Gujarati,North Indian,1,Ooty,Tamil Nadu,Hill Station,08-06-2019,Flight,North Indian,4,10000 to 25000,Rupees ,Hotels,2,0,Not rated,1,10,8,12,Youtube,4.7
1002,15-12-1984,35,F,Ahmedabad,Gujarati,North Indian,1,Udaipur,Rajasthan,Historic,26-02-2018,Flight,North Indian,9,50000 to 75000,Rupees ,Home stay,4,2.6,Average,32,2,2,15,Instagram,9.5
1002,15-12-1984,35,F,Ahmedabad,Gujarati,North Indian,1,Udaipur,Rajasthan,Historic,06-04-2019,Flight,South Indian,10,50000 to 75000,Rupees ,Cottage/Villa,4,0,Not rated,3,8,6,17,Instagram,7.3
1004,05-02-1991,28,F,Bangalore,Kannada,North Indian,1,Udaipur,Rajasthan,Historic,04-05-2019,Flight,North Indian,10,50000 to 75000,Rupees ,Cottage/Villa,3,3,Average,6,0,8,7,By word of mouth,3.4
1004,05-02-1991,28,F,Bangalore,Kannada,North Indian,1,Kolkatta,West Bengal,Historic,04-02-2019,Flight,North Indian,8,50000 to 75000,Rupees ,Cottage/Villa,3,3.8,Good,198,0,20,17,Google ads/ Online ads,6
1004,05-02-1991,28,F,Bangalore,Kannada,South Indian,1,Ranthambore national Park,Rajasthan,Historic,01-12-2019,Flight,North Indian,9,50000 to 75000,Rupees ,Hotels,4,4,Very Good,94,2,8,30,By word of mouth,8.6
1004,05-02-1991,28,F,Bangalore,Kannada,North Indian,1,Gokarna,Karnataka,Historic,20-11-2019,Flight,South Indian,5,10000 to 25000,Rupees ,Bed and breakfast,4,2.1,Poor,57,11,7,17,Paper Media,8.4
1004,05-02-1991,28,F,Bangalore,Kannada,North Indian,1,Bandipur,Karnataka,Historic,26-10-2019,Flight,North Indian,2,1000 to 10000,Rupees ,Cottage/Villa,3,0,Not rated,0,1,2,1,Instagram,9.6
1004,05-02-1991,28,F,Bangalore,Kannada,North Indian,1,Leh,Jammu Kashmir,Adventurous,08-01-2019,Flight,North Indian,3,1000 to 10000,Rupees ,Hotels,1,3.1,Average,10,2,6,16,Youtube,7.3
1004,05-02-1991,28,F,Bangalore,Kannada,North Indian,1,Mahabalipuram,Tamil Nadu,Hill Station,04-03-2019,Flight,North Indian,6,25000 to 50000,Rupees ,Home stay,3,3.4,Average,225,5,6,30,Google ads/ Online ads,8.5
1004,05-02-1991,28,F,Bangalore,Kannada,South Indian,1,Ellora,Maharashtra,Historic,05-12-2019,Flight,South Indian,9,50000 to 75000,Rupees ,Bed and breakfast,3,3.6,Good,625,11,12,28,Facebook,3
1004,05-02-1991,28,F,Bangalore,Kannada,Continental,1,Vishakpattnam,Andra Pradesh,Harbor,07-12-2019,Flight,North Indian,8,50000 to 75000,Rupees ,Hotels,1,3.9,Good,490,1,4,11,Paper Media,2.7
1004,05-02-1991,28,F,Bangalore,Kannada,South Indian,1,Kolad,Maharashtra,Historic,10-03-2019,Flight,North Indian,10,50000 to 75000,Rupees ,Home stay,3,0,Not rated,0,5,1,26,Youtube,6
1004,05-02-1991,28,F,Bangalore,Kannada,Continental,1,Guruvayur,Kerala,Hill Station,12-06-2019,Flight,South Indian,3,1000 to 10000,Rupees ,Hotels,4,3.5,Good,21,3,4,4,Instagram,8.4
1004,05-02-1991,28,F,Bangalore,Kannada,Continental,1,Manali,Himachal Pradesh,Hill Station,25-01-2019,Flight,North Indian,7,25000 to 50000,Rupees ,Home stay,2,3,Average,4,12,4,12,Youtube,2
1004,05-02-1991,28,F,Bangalore,Kannada,North Indian,1,Vaishnav Devi,Jammu Kashmir,Adventurous,09-01-2019,Flight,South Indian,9,50000 to 75000,Rupees ,Hotels,4,2.9,Average,4,2,5,10,Instagram,2
1004,05-02-1991,28,F,Bangalore,Kannada,North Indian,1,Puducherry,Puducherry,Water Sports,01-07-2018,Flight,South Indian,3,1000 to 10000,Rupees ,Cottage/Villa,1,0,Not rated,0,12,7,15,Facebook,8.6
1004,05-02-1991,28,F,Bangalore,Kannada,Continental,1,Kolkatta,West Bengal,Hill Station,09-01-2019,Flight,North Indian,6,25000 to 50000,Rupees ,Cottage/Villa,3,0,Not rated,2,4,4,16,Instagram,5.2
1005,16-03-1979,40,F, Hyderabad ,Telugu,North Indian,1,Goa,Goa,Water Sports,16-12-2019,Flight,Continental,6,25000 to 50000,Rupees ,Hotels,1,3.5,Good,67,1,1,19,Google ads/ Online ads,7.4
1005,16-03-1979,40,F, Hyderabad ,Telugu,South Indian,1,Shillong,Meghalaya,Hill Station,23-07-2018,Flight,North Indian,4,10000 to 25000,Rupees ,Home stay,3,4.6,Excellent,154,2,9,15,Youtube,2.2
1005,16-03-1979,40,F, Hyderabad ,Telugu,North Indian,1,Jaipur,Rajasthan,Historic,25-10-2019,Flight,South Indian,6,25000 to 50000,Rupees ,Hotels,2,2.9,Average,4,11,8,24,Paper Media,7
1005,16-03-1979,40,F, Hyderabad ,Telugu,North Indian,1,Kolkatta,West Bengal,Hill Station,31-01-2019,Flight,South Indian,10,50000 to 75000,Rupees ,Bed and breakfast,4,0,Not rated,1,6,1,24,Instagram,0.1
